ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_6,BILL_AMT6,PAY_5,BILL_AMT5,PAY_4,BILL_AMT4,PAY_3,PAY_2,PAY_0,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
17,20000,1,1,2,24,2,19104,2,17905,2,18338,2,0,0,15376,18010,17428,3200,0,1500,0,1650,0,1
18,320000,1,1,1,49,-1,195599,-1,5856,-1,70074,0,0,0,253286,246536,194663,10358,10000,75940,20000,195599,50000,0
19,360000,2,1,1,49,-2,0,-2,0,-2,0,-2,-2,1,0,0,0,0,0,0,0,0,0,0
20,180000,2,1,2,29,-2,0,-2,0,-2,0,-2,-2,1,0,0,0,0,0,0,0,0,0,0
21,130000,2,3,2,39,-1,930,0,11802,0,20616,0,0,0,38358,27688,24489,3000,1537,1000,2000,930,33764,0
22,120000,2,2,1,39,-1,316,-1,632,-1,0,-1,-1,-1,316,316,316,316,316,0,632,316,0,1
23,70000,2,2,2,26,2,46012,2,46905,2,44006,0,0,2,41087,42445,45020,2007,3582,0,3601,0,1820,1
24,450000,2,1,1,40,-2,0,-2,0,-2,560,-2,-2,-2,5512,19420,1473,19428,1473,560,0,0,1128,1
25,90000,1,1,2,23,0,8292,0,6360,-1,5398,0,0,0,4744,7070,0,5757,0,5398,1200,2045,2000,0
26,50000,1,3,2,23,0,30046,0,29829,0,28967,0,0,0,47620,41810,36023,1973,1426,1001,1432,1062,997,0
27,60000,1,1,2,27,-1,-189,-1,127,-1,-57,-1,-2,1,-109,-425,259,0,1000,0,500,0,1000,1
28,50000,2,3,2,30,0,19617,0,18931,0,17878,0,0,0,22541,16138,17163,1300,1300,1000,1500,1000,1012,0
29,50000,2,3,1,47,-1,257,-1,30430,-1,2040,-1,-1,-1,650,3415,3416,3415,3421,2044,30430,257,0,0
30,50000,1,1,2,26,0,11400,0,18375,0,17907,0,0,0,15329,16575,17496,1500,1500,1000,1000,1600,0,0
31,230000,2,1,2,27,-1,36923,-1,14307,-1,15339,-1,-1,-1,16646,17265,13266,17270,13281,15339,14307,37292,0,0
32,50000,1,2,2,33,0,23680,0,23217,0,22734,0,0,2,30518,29618,22102,1718,1500,1000,1000,1000,716,1
33,1.00E+05,1,1,2,32,0,75589,0,78703,0,80958,0,0,0,93036,84071,82880,3023,3511,3302,3204,3200,2504,0
34,5.00E+05,2,2,1,54,-2,8981,-2,71439,-2,7521,-2,-2,-2,10929,4152,22722,4152,22827,7521,71439,981,51582,0
35,5.00E+05,1,1,1,58,-2,5293,-2,0,-2,3180,-2,-2,-2,13709,5006,31130,5006,31178,3180,0,5293,768,0
36,160000,1,1,2,30,-1,-1884,-2,-1488,-2,-923,-2,-1,-1,30265,-131,-527,131,396,396,565,792,0,0
37,280000,1,2,1,40,0,177413,0,173901,0,170410,0,0,0,186503,181328,180422,8026,8060,6300,6400,6400,6737,0
38,60000,2,2,2,22,-1,18660,0,-28335,0,6026,0,0,0,15054,9806,11068,1500,1518,2043,0,47671,617,0
39,50000,1,1,2,25,-2,0,-2,0,-2,0,-1,-1,1,0,780,0,780,0,0,0,0,0,1
40,280000,1,1,2,31,-1,9477,0,17976,-1,9976,2,-1,-1,498,9075,4641,9075,0,9976,8000,9525,781,0
41,360000,1,1,2,33,0,179224,0,195969,0,628699,0,0,0,218668,221296,206895,10000,7000,6000,188840,28000,4000,0
42,70000,2,1,2,25,0,65970,0,64718,0,63699,0,0,0,67521,66999,63949,3000,4500,4042,2500,2800,2500,0
43,10000,1,2,2,22,0,4451,0,3670,0,3576,0,0,0,1877,3184,6003,1500,2927,1000,300,1000,500,0
44,140000,2,2,1,37,0,69802,0,67079,0,64280,0,0,0,59504,61544,62925,3000,3000,3000,4000,4000,3000,0
45,40000,2,1,2,30,0,29197,0,26636,2,25209,0,0,0,18927,21295,25921,3000,5000,0,2000,3000,0,0
46,210000,1,1,2,29,-2,0,-2,0,-2,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
47,20000,2,1,2,22,0,0,0,16675,-1,16341,2,0,0,14028,16484,15800,3000,0,16741,334,0,0,1
48,150000,2,5,2,46,-2,0,0,0,0,1170,-1,0,0,4463,3034,1170,1013,1170,0,0,0,0,1
49,380000,1,2,2,32,-1,11873,-1,11849,-1,32018,-1,-1,-1,22401,21540,15134,21540,15138,24677,11851,11875,8251,0
50,20000,1,1,2,24,0,20063,0,20480,0,19865,0,0,0,17447,18479,19476,1318,1315,704,928,912,1069,0
51,70000,1,3,2,42,0,39362,2,38659,2,39423,2,2,1,37042,36171,38355,0,3100,2000,0,1500,1500,1
52,1.00E+05,2,3,3,43,0,33258,0,35762,0,39619,0,0,0,61559,51163,43824,2000,1606,1500,2000,1500,1000,0
53,310000,2,2,1,49,-2,464,-2,3544,-2,11185,-2,-2,-2,13465,7867,7600,7875,7600,11185,3544,464,0,0
54,180000,2,1,2,25,0,45319,0,44420,0,43510,0,2,1,41402,41742,42758,1300,2010,1762,1762,1790,1622,0
55,150000,2,1,2,29,0,16540,0,21042,0,26518,0,0,2,46224,34993,31434,1600,1718,1049,1500,2000,5000,0
56,5.00E+05,2,1,1,45,-2,2530,-2,151,-2,0,-2,-2,-2,1905,3640,162,3640,162,0,151,2530,0,0
57,180000,2,3,1,34,-1,8321,-1,-679,-1,7142,0,0,0,16386,15793,8441,8500,1500,7500,679,9000,2000,0
58,180000,2,2,1,34,0,129918,0,132202,0,168608,0,0,0,175886,173440,172308,8083,7296,5253,4814,4816,3800,0
59,2.00E+05,2,1,2,34,2,1414,2,700,2,1166,2,3,-1,1587,1098,782,0,0,700,0,1200,0,0
60,4.00E+05,2,2,1,29,0,364089,0,356656,0,360199,0,0,0,400134,398857,404205,17000,15029,30000,12000,12000,23000,0
61,5.00E+05,2,3,1,28,0,15571,0,13827,0,14937,0,0,0,22848,23638,18878,1516,1300,1000,1000,2000,2000,1
62,70000,1,2,1,39,-1,830,0,14096,0,16518,0,0,0,70800,72060,69938,4025,2095,1000,2000,3000,0,0
63,50000,1,1,2,29,2,28264,2,27667,2,25865,2,2,2,24987,24300,26591,0,2700,0,2225,1200,0,1
64,50000,2,2,1,46,-2,0,-2,0,-2,0,0,0,0,28718,29166,0,1000,0,0,0,0,0,1
65,130000,2,2,1,51,-1,0,-1,2353,-2,0,-2,-1,-1,99,0,0,0,0,0,2353,0,0,0
66,2.00E+05,1,1,1,57,2,7918,2,8198,-1,8174,-2,-2,-2,152519,148751,144076,0,0,8222,300,0,1000,1
67,10000,1,2,1,56,0,4326,0,4196,0,4062,2,2,2,2097,4193,3978,2300,0,150,200,200,160,1
68,210000,2,1,2,30,-1,4250,-1,300,-1,2280,-1,-1,2,300,300,1159,300,1159,2280,300,4250,909,0
69,130000,2,3,2,29,-1,7319,2,10161,-1,10311,-2,-2,1,-190,-9850,-9850,0,0,20161,0,7319,13899,0
70,20000,1,5,2,22,0,5982,0,11205,0,18085,0,0,2,18565,17204,17285,0,1200,1000,500,1000,0,0
71,80000,1,1,2,31,-1,390,-1,390,-1,390,-1,-1,-1,780,0,390,0,390,390,390,390,390,0
72,320000,1,2,2,29,2,63526,2,62307,2,58622,2,2,2,58267,59246,60184,2500,2500,0,4800,2400,1600,1
73,2.00E+05,2,2,1,32,-1,3151,2,3848,-1,5247,-1,-1,-1,9076,5787,-684,5818,15,9102,17,3165,1395,0
74,290000,2,1,2,37,-1,0,-1,2359,-1,0,-1,-2,1,0,0,3155,0,3155,0,2359,0,0,0
75,340000,1,1,2,32,-1,25820,-1,80153,-1,4291,-1,-1,-1,3048,5550,23337,5713,23453,4314,80552,25949,2016,0
76,20000,1,2,2,24,0,18543,0,17332,0,16976,2,0,0,14619,17216,16642,2850,0,610,630,1500,0,0
77,50000,1,3,2,25,0,10030,0,9590,0,9636,0,0,-1,42838,37225,36087,1759,1779,320,500,1000,1000,0
78,3.00E+05,2,1,1,45,-1,291,-1,291,-1,291,-1,-1,-1,291,291,291,291,291,291,291,291,291,0
79,30000,2,2,2,22,0,6411,0,26446,0,28004,0,0,0,28387,29612,30326,1686,1400,560,3000,1765,0,1
80,240000,2,2,2,44,-2,0,-2,0,-2,0,-2,-2,1,0,0,0,0,0,0,0,0,0,1
81,470000,2,3,3,33,0,29889,0,29271,0,69923,0,0,0,165254,157784,162702,6400,7566,3000,960,1000,3000,0
82,360000,2,1,2,26,-1,196,0,180000,0,33100,0,0,0,23411,27796,30400,4796,3400,3100,146900,196,2963,0
83,60000,1,3,2,30,0,19771,0,19899,0,21993,0,0,0,26324,27471,28108,1576,1213,648,768,1140,0,1
84,4.00E+05,2,2,1,44,0,94058,0,104990,0,104430,2,0,0,131595,139060,126819,10700,3,3050,3000,3200,2800,0
85,50000,2,3,2,49,0,19482,0,19342,0,20414,0,0,0,48909,47863,21489,1676,1302,700,699,849,826,0
86,160000,1,2,2,33,0,120418,0,118407,0,118418,0,0,0,130028,107808,71934,4400,3547,80000,4500,4800,4500,0
87,360000,2,1,1,45,-1,390,-1,390,0,390,2,-1,-1,390,1170,780,1170,0,0,390,390,390,1
88,160000,2,2,2,32,-1,766,0,7072,0,8604,0,0,0,3826,4751,6604,1147,2000,2000,0,766,2303,0
89,130000,2,1,1,35,-1,1190,-1,7095,-1,1330,0,0,0,81313,117866,17740,40000,5000,1330,7095,1190,2090,0
90,20000,1,3,2,44,2,11970,0,12314,0,10488,0,2,2,8583,8303,9651,0,1651,1000,2000,0,1500,0
91,2.00E+05,1,1,1,53,2,149531,2,147124,2,144098,2,2,2,138180,140774,142460,6300,5500,5500,5500,5000,5000,1
92,280000,2,1,2,39,-2,0,0,0,0,3868,-1,-1,-1,7524,0,3968,0,3968,0,0,0,0,0
93,1.00E+05,2,1,2,27,-2,0,-2,0,-2,0,-2,-2,-2,-2000,5555,0,7555,0,0,0,0,0,0
94,160000,2,2,1,37,-2,0,-1,0,-1,840,-1,-1,-1,880,1602,840,1602,840,840,0,0,7736,0
95,60000,2,2,2,23,0,19323,0,19209,0,19595,0,0,0,45648,46850,47214,1937,1301,682,690,816,835,0
96,90000,1,2,2,35,0,30835,0,30942,0,35565,0,0,0,83725,85996,87653,3621,3597,1179,1112,1104,1143,0
97,360000,1,1,1,43,0,9956,-1,26370,-1,6451,-1,-1,-1,3967,8322,3394,8339,3394,12902,27000,0,68978,0
98,150000,1,1,2,27,0,40788,0,87725,0,89775,0,0,0,86009,86108,89006,4031,10006,3266,4040,1698,800,0
99,50000,2,3,1,22,0,7899,0,8866,0,13150,0,0,0,18722,18160,16997,1411,1194,379,281,321,197,0
100,20000,1,2,1,38,-1,150,0,17928,0,18240,0,0,0,17973,19367,19559,1699,1460,626,1750,150,0,1
101,140000,1,1,2,32,-2,1430,-2,100,-2,415,-2,-2,-2,672,10212,850,10212,850,415,100,1430,0,0
102,380000,2,1,2,30,0,34056,0,33564,0,32891,-1,-2,-2,-81,-303,32475,223,33178,1171,1197,1250,5000,0
103,480000,1,1,1,63,0,469961,2,471145,2,487066,0,0,0,422069,431342,479432,16078,55693,17000,0,18000,24200,0
104,50000,2,3,2,22,0,24094,0,23477,0,32496,0,0,0,44698,42254,38347,1767,1362,1002,840,995,904,1
105,60000,2,2,2,26,0,55305,2,55447,2,60218,2,2,2,56685,55208,59175,0,5000,2511,6,3000,3000,0
106,70000,2,2,2,24,-1,26529,-2,0,-2,0,-2,-1,-1,5580,0,0,0,0,0,0,26529,2000,0
107,80000,2,2,1,36,-1,1150,-1,1150,-1,3319,-1,-1,-1,6108,2861,3277,2861,3279,3319,1150,1150,1035,0
108,350000,1,1,2,52,-1,5263,-1,1150,-1,867,-1,-1,-1,713,2272,722,2272,722,867,1150,5263,5011,0
109,130000,1,2,2,38,-1,126568,-1,44127,-1,120483,0,0,0,171438,178382,39940,10908,0,133657,4566,133841,4796,0
110,360000,1,2,1,35,-2,-103,-2,-103,-2,-103,-2,-2,1,-103,-103,-103,0,0,0,0,0,0,0
111,330000,2,1,1,31,0,107289,0,106491,0,105896,2,0,0,105879,108431,105594,9260,0,3593,4100,15794,0,0
112,50000,1,3,1,47,0,17393,0,16671,0,15928,2,0,0,13244,14722,15181,2000,1000,1000,1000,1000,1000,0
113,280000,1,2,1,41,3,149415,2,152174,2,144401,2,2,2,135673,138532,134813,6500,0,14254,14850,0,5000,0
114,1.00E+05,2,1,2,24,0,59713,0,60100,0,56076,0,0,0,52128,52692,54477,2000,2677,3076,5080,3000,2033,0
115,50000,1,2,2,41,0,19957,0,20311,0,20274,0,0,0,19015,19294,20259,1340,1305,700,718,724,684,0
116,30000,1,1,2,24,2,21201,3,20692,0,21319,0,2,-1,18199,17618,18631,0,1312,3000,0,1000,1000,1
117,240000,1,1,2,28,-1,326,-1,476,-1,5676,-1,-1,-1,326,326,326,326,326,5676,476,326,526,0
118,80000,1,2,2,26,0,18186,0,17629,0,17055,0,0,2,14029,15493,16630,2000,1700,1000,1000,1000,1000,1
119,4.00E+05,1,2,1,34,-1,7959,-1,14837,-1,7839,-1,-1,-1,19660,9666,11867,9677,11867,7839,14837,7959,5712,0
120,240000,2,2,2,38,-1,1203,-1,1307,0,52479,0,0,0,50254,51445,53015,2000,3000,3000,1307,1203,563,0
121,50000,1,3,2,37,2,51143,2,49318,3,48851,2,2,2,46004,45976,48953,1000,4035,1000,1400,2800,0,1
122,450000,1,1,1,40,-2,0,-2,0,-2,0,-2,-2,1,0,0,0,0,0,0,0,0,0,1
123,110000,2,1,1,48,-2,0,-2,0,-2,0,-2,-2,1,0,0,0,0,0,0,0,0,0,0
124,310000,2,2,1,35,0,198889,0,246491,0,258610,0,0,2,304991,311243,306314,13019,11128,8407,8599,6833,5987,1
125,20000,1,1,2,27,0,15630,0,19717,0,19378,0,0,0,19115,18962,19298,1404,1130,600,861,313,0,0
126,20000,1,2,2,23,-2,0,-2,0,-2,0,-2,-2,1,0,0,0,0,0,0,0,0,0,0
127,2.00E+05,1,3,2,52,0,104993,0,103146,0,100914,0,0,0,110151,99530,98951,3568,3585,3602,3848,3669,3784,0
128,180000,1,1,1,36,0,95927,0,97753,0,95766,0,0,0,163736,116422,99278,4655,2690,2067,2142,2217,1000,1
129,50000,1,2,1,51,0,7077,0,6375,0,5347,0,0,0,3347,3899,4503,1000,1066,1300,1500,1200,134,1
130,60000,1,3,1,55,0,26547,0,29510,0,28853,2,2,3,60521,61450,57244,2504,7,1200,1200,1100,1500,0
131,30000,2,1,2,23,-1,5906,-1,13744,-2,-27,-2,-2,1,4000,5645,3508,5645,3508,27,13771,5911,3024,0
132,240000,1,1,2,41,-1,1737,0,360,0,3164,-1,-1,1,95,2622,3301,2622,3301,0,360,1737,924,0
133,420000,1,2,1,34,0,188108,0,210606,0,220951,0,0,0,253454,247743,229049,9744,9553,7603,7830,7253,11326,0
134,330000,1,3,1,46,0,228203,0,227775,0,227587,0,0,0,227389,228719,229644,8210,8095,8025,8175,8391,8200,0
135,30000,2,2,2,22,0,-780,0,17603,0,25350,0,0,0,28452,26145,26712,2000,1400,0,500,0,1560,0
136,240000,1,2,1,34,2,13891,2,14158,2,13269,0,0,0,10674,12035,13681,1500,1800,0,1000,0,327,0
137,150000,1,1,2,27,0,30229,0,27200,0,24614,0,0,0,17444,19342,22000,2500,3000,3000,3000,3500,5000,0
138,210000,2,2,1,33,0,5708,0,4404,0,9189,0,0,0,7166,7997,8792,1500,1500,1000,500,2000,546,0
139,50000,2,3,1,51,-2,0,-2,0,-1,0,-1,-1,-1,752,300,5880,300,5880,0,0,0,0,1
140,50000,1,1,2,24,0,18995,0,19375,0,19430,0,0,0,50801,50143,49586,2360,1700,1000,900,870,2130,0
141,240000,1,1,2,47,-2,0,-2,0,-2,0,-2,-2,1,0,0,0,0,0,0,0,0,0,1
142,180000,1,2,2,28,-1,416,-1,416,-1,332,-1,-1,-1,1832,0,832,0,416,332,500,3500,832,0
143,50000,1,2,2,23,0,18065,0,19879,2,19996,2,2,1,10131,10833,20583,1000,10000,400,700,800,600,0
144,170000,1,2,2,29,-2,15846,-2,9983,-2,10000,-2,-2,-2,12159,10000,10000,10000,10000,10000,9983,15863,10000,0
145,20000,1,1,2,29,-1,339,0,6702,-1,2340,-1,-1,-1,1199,15586,344,15586,344,2340,4702,339,330,0
146,50000,1,1,2,28,3,10138,0,10624,0,9195,0,0,0,4999,5913,7315,1000,1500,2000,1583,1100,0,0
147,170000,2,2,2,27,0,9100,0,17918,0,17560,0,0,0,19269,20313,20852,1661,1200,351,358,182,0,1
148,2.00E+05,1,1,2,34,0,59875,0,132233,0,135668,0,2,1,197236,176192,93069,8000,5000,55500,5000,5000,8500,0
149,80000,2,2,1,23,0,12034,0,10123,2,9898,3,2,1,9168,10522,10205,1650,0,0,379,2091,1,0
150,260000,2,1,1,60,-1,869,-1,969,-1,0,-1,-2,1,-1100,-1100,21400,0,22500,0,969,1000,0,0
151,140000,1,2,1,32,0,55251,2,58319,0,64648,0,0,0,86627,78142,68336,3455,3110,5000,0,2100,2602,0
152,80000,1,1,2,25,0,31826,0,41951,0,41087,0,0,0,42444,55744,43476,30000,3000,6000,8000,2000,14000,0
153,350000,1,1,2,41,-2,0,-1,0,-1,630,-1,-1,1,208,2906,1000,2906,1000,630,0,0,0,0
154,280000,2,2,1,56,0,169311,0,177145,0,101783,0,0,0,208775,182350,132257,8042,6700,5137,1.00E+05,7000,6321,0
155,30000,2,3,2,26,0,14206,0,13084,0,11935,0,0,0,9014,10406,11427,1700,1500,1000,1500,1500,1500,0
156,140000,1,1,1,34,0,48699,0,47086,0,43129,0,0,0,23944,28049,32073,5000,5000,11885,5000,3000,5504,0
157,2.00E+05,2,1,2,37,0,94031,0,92505,0,90938,0,0,0,105420,102870,89643,4000,3250,3250,3500,3560,5000,0
158,2.00E+05,2,3,2,30,0,122324,0,146975,0,167163,0,0,0,196031,196143,189524,7300,7108,7680,6200,5000,4500,0
159,210000,1,3,1,45,6,154105,5,145533,4,137277,4,3,2,115785,122904,129847,10478,10478,11078,11078,11678,10478,1
160,50000,1,3,1,57,0,14083,0,13711,0,13427,0,2,3,12854,12362,13447,0,1600,500,500,600,600,0
161,30000,1,1,2,41,0,28321,2,27579,2,28168,2,2,2,24357,27453,26718,3500,0,2200,0,1200,1250,0
162,50000,1,2,2,27,2,540,-1,1080,-1,216,-1,-1,2,390,390,780,390,780,216,864,0,390,0
163,290000,1,3,1,47,-1,423,0,396,-1,792,-1,-1,-1,1234,396,396,396,396,792,0,423,369,0
164,250000,2,1,1,34,0,160220,0,155997,0,152803,2,0,0,141223,156858,151841,17994,0,5469,5656,6811,3920,0
165,60000,2,2,1,46,0,27756,0,26655,0,26034,0,0,0,21148,23803,24908,3000,1500,1500,1000,1500,1500,0
166,110000,2,1,2,27,0,77254,0,76058,0,74737,0,0,0,101640,104795,104855,5500,3900,3000,2900,3000,2800,0
167,370000,1,1,2,50,-2,13453,-2,4792,-2,15398,-2,-2,-2,6093,15130,8204,15383,8204,15413,4792,13453,4699,0
168,1.00E+05,1,2,1,27,0,-246,0,22979,0,29336,2,2,-1,102349,96847,58824,3166,0,1330,1398,12,50000,0
169,90000,2,2,1,35,2,88290,0,85852,0,77317,0,0,0,72112,73854,75526,3500,3500,3652,10000,4000,0,0
170,50000,2,2,2,22,0,28806,0,28318,0,27737,0,0,0,28040,29092,29366,1510,1442,982,1017,1277,567,0
171,270000,1,2,2,37,0,24641,0,26344,0,27598,0,0,0,37695,33397,30534,5000,2000,3000,4000,3000,2000,0
172,3.00E+05,2,1,2,30,-1,800,-1,2672,-1,4340,-1,-1,-1,688,3280,0,3288,0,4340,2672,800,746,0
173,50000,2,2,2,22,0,7725,0,3115,0,7457,0,0,-1,8567,15273,11650,15000,1000,149,0,5000,10000,0
174,50000,2,1,2,24,-2,-3272,-2,-3272,-2,-2898,-2,-2,1,-709,-709,-709,0,0,0,0,0,0,1
175,360000,1,1,2,29,-2,0,-2,0,-1,0,-1,-2,1,0,0,77,0,77,0,0,0,0,0
176,130000,1,3,1,56,3,71345,2,72796,2,68557,2,2,1,64617,65978,67282,3000,3000,3000,5500,0,0,1
177,80000,1,1,2,30,0,5380,0,1919,0,1438,0,-1,-2,6187,100,600,504,500,1000,500,3500,0,0
178,50000,1,2,2,30,2,22361,0,22877,0,30221,0,2,1,48860,47801,48363,0,1500,1000,2000,0,2000,0
179,20000,2,2,2,22,0,14906,0,14034,0,13130,0,0,0,16001,12622,13221,1212,1201,500,1500,1500,1000,0
180,80000,2,2,1,29,0,11486,0,10662,0,61467,2,0,0,77883,81811,80250,5800,1000,600,400,1000,0,0
181,240000,1,1,2,37,-1,1256,0,26279,0,26605,2,-1,-1,12212,26578,25331,15000,0,2000,0,1256,65935,0
182,80000,2,3,2,35,0,17460,0,17770,0,17364,0,-1,0,49608,12412,14873,12500,6500,3000,2000,3000,2000,0
183,5.00E+05,2,1,1,47,0,70064,0,108834,0,122967,0,0,0,56422,110616,110340,70010,30357,30000,20000,52183,20000,0
184,60000,2,2,1,24,0,19395,0,19323,0,18971,0,0,0,58024,57891,48839,2500,1600,3000,1000,737,2000,1
185,20000,1,2,2,25,-1,1620,0,1615,0,12280,0,0,0,10642,11677,13070,1200,1593,601,135,1824,0,0
186,1.00E+05,2,2,1,38,0,16448,2,15868,0,16268,0,2,1,14483,13961,15323,0,1600,1500,0,1000,1500,1
187,360000,2,1,2,32,-1,16240,-1,13881,-1,68445,-1,-1,1,2616,57077,5287,57087,5295,68454,13889,16250,38313,0
188,2.00E+05,2,3,2,47,2,189915,2,200162,2,196186,2,2,2,199436,202947,193936,8214,7000,6800,7134,0,6836,1
189,130000,2,2,1,34,0,14636,0,13864,0,13576,0,-1,1,0,5396,10270,5396,5000,3500,501,1000,2000,0
190,20000,2,2,2,31,2,20487,3,20219,4,20835,4,5,1,21703,21087,21461,0,1000,0,0,760,0,0
191,310000,1,1,2,32,0,43328,0,60387,0,65875,0,0,0,59901,62147,62102,10020,6031,10057,5028,5060,4223,0
192,60000,2,1,2,27,0,22873,2,22499,0,23005,0,0,2,19625,20347,21669,1342,1664,2000,0,900,846,1
193,180000,2,1,2,29,0,17042,-1,17227,-2,0,-1,-1,-1,11386,199,0,199,0,0,17227,341,5114,0
194,180000,2,1,2,24,-2,0,0,0,0,10200,2,-1,-1,14670,22087,21282,37867,0,200,0,0,0,0
195,50000,1,2,1,36,-1,658,-1,72,0,-14,0,0,0,47790,18114,18250,2000,1000,2000,500,1000,20011,0
196,50000,2,1,2,24,2,40035,2,39228,2,38462,2,2,1,36166,37188,37680,1900,1400,1700,1532,1600,0,1
197,150000,2,2,1,34,-2,1500,-2,0,-2,116,-2,-2,-2,0,0,0,0,0,116,0,1500,0,0
198,20000,2,1,2,22,0,19247,-1,18868,0,8332,0,0,0,18553,19446,19065,1500,1032,541,20000,693,1000,0
199,5.00E+05,2,1,1,34,-1,1151,-1,1206,-1,1251,-2,-2,-2,412,138,2299,138,2299,1251,1206,1151,15816,0
200,30000,2,3,2,22,0,0,0,1630,0,29836,2,2,1,29010,29256,28122,1000,85,1714,104,0,0,1
201,180000,2,1,1,38,-2,0,-2,0,-2,0,-2,-2,-2,750,0,0,0,0,0,0,0,0,0
202,140000,1,1,2,31,2,10833,0,27407,0,20225,2,0,0,27123,27299,17985,25000,0,3000,7800,0,2500,0
203,140000,2,1,2,26,-1,487,-1,13506,-1,5818,-1,0,-1,13424,18000,13001,10000,13001,5841,13506,487,7004,0
204,120000,1,2,2,26,0,122135,0,119131,0,116000,0,0,0,107314,110578,113736,5000,5000,4152,5000,5000,5000,0
205,360000,2,2,1,48,0,146511,0,173557,0,190211,0,0,0,226430,231878,234192,9100,7300,5800,5600,5600,4100,0
206,20000,1,3,1,43,0,19337,0,19450,0,19339,0,-1,-1,227,20351,20237,22359,1305,1258,1459,3457,1700,0
207,1.00E+05,1,1,1,47,-1,0,-1,390,-1,390,-1,-1,-1,390,1473,390,1473,390,390,390,0,2380,0
208,210000,2,2,1,41,-1,0,-1,877,-1,3763,-1,-1,-1,3088,1586,343,1586,343,3763,877,0,419,1
209,80000,2,2,2,24,0,49568,0,49509,0,49552,0,0,0,81625,81554,79599,3200,3000,2038,2000,1800,1800,1
210,330000,2,1,1,50,-2,1709,-2,0,-1,1690,-1,-1,-1,8872,4337,2854,4345,2854,1702,0,1709,258,0
211,220000,1,1,2,24,-1,85632,-1,0,-1,8303,0,0,0,105607,108917,111520,5000,5050,8303,0,85632,0,0
212,210000,2,1,1,38,-1,1222,-1,789,0,123,-1,-2,1,0,0,250,0,250,0,789,1222,9616,1
213,40000,2,3,1,43,0,31339,0,33138,0,36207,0,0,0,38257,38901,38103,1700,1504,1200,1500,1500,1000,0
214,30000,1,2,2,39,0,8032,0,7736,2,12992,0,0,0,28347,28108,18388,3036,2309,0,1000,2000,148,0
215,470000,1,2,2,27,0,309959,0,305145,2,479978,2,2,2,296573,303320,307843,13000,11001,0,10484,10838,10367,0
216,30000,1,3,1,42,2,780,-1,1320,-1,240,-1,-1,-1,390,390,390,390,390,240,1470,0,0,0
217,240000,2,2,1,36,-2,-946,-2,-946,-2,-946,-2,-2,1,-946,-946,-946,0,0,0,0,0,0,1
218,80000,1,2,2,36,0,78245,0,76235,0,80016,0,0,2,79278,78501,78534,3100,3500,3400,3000,3500,3000,0
